Designator,Mid X,Mid Y,Rotation,Layer
ATMEGA328-P1,130.79,-122.76,270.0,top
BUCK_IN1,122.25,-52.3275,180.0,top
BUCK_OUT1,138.5,-52.75,180.0,top
CAREF1,128.68,-135.555,0.0,top
CAVCC1,128.75,-143.25,0.0,top
CIR_IN1,114.0925,-99.2,90.0,top
CPW1,121.4,-82.4075,180.0,top
CPW2,141.0,-81.9925,0.0,top
CRESET1,137.0,-99.25,90.0,top
CRYSTAL1,126.68,-113.07,180.0,top
CX1,129.25,-99.0,90.0,top
CX2,121.75,-99.2,90.0,top
D1,133.75,-67.5575,180.0,top
FUSE1,132.45,-74.9,0.0,top
IR_INPUT1,174.35,-68.45,270.0,top
IR_OUTPUT1,163.85,-69.95,270.0,top
ISP1,156.25,-125.98,0.0,top
JST1,164.1,-87.2,90.0,top
JST2,164.25,-99.0,90.0,top
JST3,164.0,-111.0,90.0,top
JST4,163.95,-122.75,90.0,top
JST5,196.5,-122.5,270.0,top
JST6,196.4,-110.75,270.0,top
JST7,196.4,-99.0,270.0,top
JST8,196.4,-87.375,270.0,top
LEDIN1,145.9,-65.0575,0.0,top
MUX1,181.0,-98.0,0.0,top
POWER_IN1,117.8275,-69.7575,270.0,top
REST_BUTTON1,152.5,-103.0,90.0,top
RIR1,115.0,-137.25,90.0,top
RIR_IN1,182.25,-142.45,0.0,top
RLED1,146.65,-74.25,0.0,top
RRESETMCU1,144.25,-100.5,270.0,top
RRESETMUX1,180.5,-119.75,0.0,top
RSCL1,147.0,-139.15,270.0,top
RSDA1,141.75,-139.15,270.0,top
RSSBUTTON1,163.6,-141.95,180.0,top
SS_BUTTON1,184.0,-70.0,270.0,top
TB6600CONTROL1,180.0,-52.25,180.0,top
TB6600POWER1,154.75,-52.5,180.0,top
